method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
flat_fedavg_random,1,0.17962963382403055,0.08051830132824649,2.626020828882853,0.21086974299840552,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,107.96645065254755,43.75940597119217,64.125,8.705242673240075,106.0,8.48528137423857,70.72,4.493313550896112,185.5,14.849242404917497,0,0.0,0.4,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,2,0.0833333358168602,0.012627945263043408,4.012945890426636,1.0663080095777828,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,96.93276550908124,19.098523058992146,59.083333333333336,9.594558643082836,106.66666666666667,6.342099196813483,69.33333333333333,0.9805214032453451,186.66666666666666,11.098673594423595,0,0.0,0.5358197358197359,0.036584774438693776,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,3,0.11481481790542603,0.029513663147012547,10.158668994903564,6.370378691783294,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,107.50965602913898,4.187234942044685,61.958333333333336,2.3724401409144598,111.33333333333333,3.7712361663282534,70.72,1.6983128883296688,194.83333333333334,6.599663291074443,0,0.0,0.6700228832951945,0.06213478351845176,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,4,0.10462963084379832,0.006547284620737954,16.539241472880047,12.505351822458234,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,123.97856468898165,18.91278236125825,70.08333333333333,6.436657172442506,110.66666666666667,7.542472332656507,70.02666666666667,0.9805214032453451,193.66666666666666,13.199326582148887,0,0.0,0.7365300784655624,0.06312792885222532,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,5,0.0972222238779068,0.0039283707724427725,37.84605598449707,24.57899475134812,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,131.61451094260863,16.06285164375547,67.875,11.239346807829477,123.66666666666667,0.4714045207910317,67.25333333333333,3.9220856129813804,216.41666666666666,0.8249579113843054,0,0.0,0.7717743472460454,0.04494758683581929,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,6,0.0972222238779068,0.0039283707724427725,47.84495226542155,26.518183475061306,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,145.35992134948123,20.707166566782636,72.0,6.673954350058642,119.0,5.715476066494082,67.94666666666667,0.9805214032453451,208.25,10.002083116364643,0,0.0,0.8200732702011474,0.02990567800876017,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,7,0.0972222238779068,0.0039283707724427725,87.78552373250325,57.1593042983574,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,150.7652399279575,16.36197841080391,63.458333333333336,1.5855247992033707,113.66666666666667,3.0912061651652345,69.33333333333333,0.9805214032453451,198.91666666666666,5.409610789039161,0,0.0,0.82943115364168,0.032464022730142005,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,8,0.0972222238779068,0.0039283707724427725,113.05088551839192,57.92432253144012,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,175.79673106960166,8.557589151578147,52.583333333333336,7.313182541745344,101.66666666666667,15.520595635763755,70.02666666666667,1.9610428064906902,177.91666666666666,27.16104236258657,0,0.0,0.8574088120990776,0.03827832829075621,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hierarchical_intelligent_fedavg,1,0.10092592736085255,0.014581495193859942,2.6966892083485923,0.06643118361481722,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,62.77635438375642,14.68904386419098,42.333333333333336,3.221563630012951,91.66666666666667,10.873004286866728,70.72,1.6983128883296688,101.66666666666667,10.873004286866728,0,0.0,0.4,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,2,0.11388888955116272,0.004536091845892986,4.561964988708496,0.3903322568692478,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,74.96136070718012,18.63811301832751,42.958333333333336,3.9387674326988247,84.33333333333333,7.71722460186015,70.72,1.698312888329663,94.33333333333333,7.71722460186015,0,0.0,0.4177777777777778,0.012570787221094181,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
